covid_measure_id,location_id,date_reported,data_type_id,scenario_id,mean,upper,lower,data_class_id.x,location_name,covid_measure_name,data_class_id.y,definition,datatype,scenario_name
4,145,1/31/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/1/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/2/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/3/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/4/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/5/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/6/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/7/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/8/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/9/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/10/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/11/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/12/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/13/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/14/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/15/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/16/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/17/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/18/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/19/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/20/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/21/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/22/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/23/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/24/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/25/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/26/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
4,145,2/27/2020,1,6,0,0,0,1,Kuwait,deaths,1,"daily covid deaths (raw when observed)",Observed,Observed
